gstin,industry,state_code,years_old,size_type,annual_turnover,filing_rate,missing_returns,avg_delay_days,avg_itc_ratio,total_itc_claimed,total_tax_paid,total_outward_supply,avg_monthly_sales,sales_volatility,spike_ratio,invoices_issued,invoices_received,invoice_match_rate,unique_buyers,unique_suppliers,companies_same_address,is_fraud,fraud_type,avg_itc_ratio_is_outlier,spike_ratio_is_outlier,avg_monthly_sales_is_outlier,sales_volatility_is_outlier,avg_delay_days_is_outlier
21CTGDC7550C4ZO,Fertilizers,21,20,small,11544207.23,0.8333,3,6.06,0.7521,2069428.24,674157.42,17081992.24,1138799.48,0.2512,0.7891,36,46,0.9444,36,46,3,0,none,0,0,0,0,0
23OFPVA8631Y6ZG,Electronics,23,13,small,42679729.58,0.9444,1,5.06,0.746,9175624.5,3230568.89,71541193.06,4208305.47,0.2809,0.8557,52,37,0.8654,52,37,5,0,none,0,0,0,0,0
09USNZJ5868S4ZE,Pharmaceuticals,9,22,small,15890622.25,1.0,0,1.44,0.7788,3092593.21,839933.12,26539525.05,1474418.06,0.3252,0.8415,33,32,0.7576,33,32,3,0,none,0,0,0,0,0
33GCHQJ3229U2ZK,Construction,33,6,small,14957495.69,0.8333,3,6.33,0.7848,2552928.22,635452.68,20993053.56,1399536.9,0.2559,1.0298,33,42,0.8788,33,42,4,0,none,0,0,0,0,0
21RFITB8840S6ZN,Coal,21,13,medium,660709276.69,0.9444,1,1.33,0.7161,141289028.19,57037609.52,1053296368.57,61958609.92,0.3548,1.1805,37,40,0.8378,37,40,2,0,none,0,0,0,0,0
09DTOTL5391P2ZD,Steel,9,5,medium,802475396.14,1.0,0,7.17,0.7818,186553765.94,52535544.16,1312804381.24,72933576.74,0.3389,1.0938,50,53,0.82,50,53,3,0,none,0,0,0,0,0
20BJZNZ8076R5ZV,Steel,20,10,small,23778737.9,0.8889,2,3.61,1.7519999999999996,47168166.82,1520508.73,2153201.49,134575.09,0.2065,1.0076,47,40,0.8936,47,40,6,1,shell_company,1,0,0,0,0
24WGNEX8266E6ZK,Fertilizers,24,1,small,25453073.99,1.0,0,7.67,0.7586,6120601.41,1918579.04,49615815.48,2756434.19,0.2691,1.3931,51,46,0.9608,51,45,1,0,none,0,0,0,0,0
37JZUGG5078Y9ZI,Chemicals,37,22,small,28390572.49,0.9444,1,0.94,0.7719,6399860.48,1838876.55,50053007.64,2944294.57,0.2884,0.9329,42,44,0.9524,42,44,5,0,none,0,0,0,0,0
17WLFOS2396O9Z2,Steel,17,8,small,18228106.98,0.9444,1,10.11,1.7519999999999996,21665170.61,1222090.4,1405779.62,82692.92,0.3378,0.6799,52,32,0.8269,52,32,2,1,shell_company,1,0,0,0,0
