gstin,years_old,annual_turnover,industry_encoded,state_encoded,size_encoded,companies_same_address,turnover_per_year,new_high_turnover,filing_rate,missing_returns,avg_delay_days,max_delay_days,late_filings_count,very_late_filings,max_consecutive_miss,delay_std,compliance_trend,total_itc_claimed,total_tax_collected,total_tax_paid,avg_itc_ratio,max_itc_ratio,itc_exceeds_tax,itc_volatility,itc_trend,net_tax_ratio,total_outward_supply,avg_monthly_sales,max_monthly_sales,min_monthly_sales,sales_volatility,spike_ratio,max_mom_jump,zero_sales_months,max_acceleration,seasonal_std,invoices_issued,invoices_received,total_issued_amt,total_received_amt,invoice_match_rate,unique_buyers,unique_suppliers,top_buyer_share,amount_imbalance,avg_invoice_size,is_fraud,fraud_type
21CTGDC7550C4ZO,20,11544207.23,7,20,2,3,549724.15,0,0.8333,3,6.06,39,5,2,1,12.35,-0.25,2069428.24,2743585.67,674157.42,0.7521,0.9,0,0.4176,-0.0951,0.2457,17081992.24,1138799.48,1619880.07,647276.58,0.2512,0.7891,0.8288,0,1318664.07,117501.35,36,46,83509911.27,97280365.35,0.9444,36,46,0.0598,0.0762,2319719.76,0,none
23OFPVA8631Y6ZG,13,42679729.58,6,22,2,5,3048552.11,0,0.9444,1,5.06,28,6,0,1,9.2,-0.1667,9175624.5,12406193.38,3230568.89,0.746,0.8697,0,0.6125,0.7678,0.2604,71541193.06,4208305.47,6213168.17,2771695.82,0.2809,0.8557,0.9078,0,4798712.12,969292.02,52,37,136455478.37,99137691.44,0.8654,52,37,0.036,-0.1584,2624143.81,0,none
09USNZJ5868S4ZE,22,15890622.25,12,8,2,3,690896.62,0,1.0,0,1.44,10,3,0,0,3.36,0.0,3092593.21,3932526.29,839933.12,0.7788,0.8997,0,0.6442,1.5403,0.2136,26539525.05,1474418.06,2335833.07,801601.58,0.3252,0.8415,1.0843,0,2344850.73,213851.84,33,32,89585258.03,88054833.49,0.7576,33,32,0.0553,-0.0086,2714704.79,0,none
33GCHQJ3229U2ZK,6,14957495.69,5,27,2,4,2136785.1,0,0.8333,3,6.33,57,6,2,1,14.91,0.0,2552928.22,3188380.89,635452.68,0.7848,0.8979,0,0.5536,0.0736,0.1993,20993053.56,1399536.9,2081217.8,809479.08,0.2559,1.0298,1.41,0,1517561.93,196248.86,33,42,100021987.97,108848161.2,0.8788,33,42,0.0491,0.0423,3030969.33,0,none
21RFITB8840S6ZN,13,660709276.69,4,20,1,2,47193519.76,0,0.9444,1,1.33,7,5,0,1,2.43,0.0833,141289028.19,198326637.72,57037609.52,0.7161,0.8647,0,0.4965,1.7538,0.2876,1053296368.57,61958609.92,97257537.72,34149628.71,0.3548,1.1805,1.5577,0,104398317.31,13479961.0,37,40,90640106.88,107812500.59,0.8378,37,40,0.0549,0.0865,2449732.62,0,none
09DTOTL5391P2ZD,5,802475396.14,14,8,1,3,133745899.36,0,1.0,0,7.17,49,5,2,0,15.37,0.0,186553765.94,239089310.12,52535544.16,0.7818,0.8863,0,0.5973,-0.1808,0.2197,1312804381.24,72933576.74,117391348.17,40640514.16,0.3389,1.0938,1.8293,0,140232974.53,12818151.3,50,53,141903164.72,130458534.44,0.82,50,53,0.0346,-0.042,2838063.29,0,none
20BJZNZ8076R5ZV,10,23778737.9,14,19,2,6,2161703.45,0,0.8889,2,3.61,32,4,1,2,8.76,0.1667,47168166.82,373740.32,1520508.73,123.8846,142.0246,16,0.5752,-0.4568,4.0683,2153201.49,134575.09,176776.24,77607.14,0.2065,1.0076,0.6022,0,76969.24,15690.09,47,40,109810390.2,97096886.26,0.8936,47,40,0.0426,-0.0614,2336391.28,1,shell_company
24WGNEX8266E6ZK,1,25453073.99,7,23,2,1,12726537.0,0,1.0,0,7.67,60,6,2,0,18.26,0.0,6120601.41,8039180.44,1918579.04,0.7586,0.863,0,0.4446,0.9776,0.2387,49615815.48,2756434.19,3718003.43,1472312.37,0.2691,1.3931,1.1226,0,2737346.45,115101.71,51,46,121159334.33,120600170.99,0.9608,51,45,0.0398,-0.0023,2375673.22,0,none
37JZUGG5078Y9ZI,22,28390572.49,3,29,2,5,1234372.72,0,0.9444,1,0.94,17,1,0,1,4.01,0.0833,6399860.48,8238737.02,1838876.55,0.7719,0.8889,0,0.4993,-0.5288,0.2232,50053007.64,2944294.57,4191760.86,1455520.46,0.2884,0.9329,1.263,0,3593874.07,688876.25,42,44,103748821.76,99394160.87,0.9524,42,44,0.0477,-0.0214,2470210.04,0,none
17WLFOS2396O9Z2,8,18228106.98,14,16,2,2,2025345.22,0,0.9444,1,10.11,54,9,2,1,15.71,0.0833,21665170.61,233102.73,1222090.4,93.1258,112.9689,17,0.6039,-0.6154,5.2427,1405779.62,82692.92,128728.38,45806.16,0.3378,0.6799,1.4701,0,123162.04,16412.89,52,32,135358903.05,83258065.45,0.8269,52,32,0.0346,-0.2383,2603055.83,1,shell_company
