gstin,is_fraud,fraud_type,graph_risk_score,pagerank_score,cycle_risk,in_degree,out_degree,total_received,total_sent,imbalance_risk,clustering_coef,in_circular_ring,in_shell_cluster,graph_predicted_fraud
21CTGDC7550C4ZO,0,none,40.120000000000005,37.19,0,46,36,97280365.35,83509911.27,3.3,0.0126,0,1.0,1
23OFPVA8631Y6ZG,0,none,38.870000000000005,35.48,0,37,52,99137691.44,136455478.37,0.0,0.0156,0,1.0,0
09USNZJ5868S4ZE,0,none,37.57,30.28,0,32,33,88054833.49,89585258.03,0.0,0.0178,0,1.0,0
33GCHQJ3229U2ZK,0,none,40.66,40.87,0,42,33,108848161.2,100021987.97,1.76,0.0163,0,1.0,1
21RFITB8840S6ZN,0,none,27.75,47.22,0,40,37,107812500.59,90640106.88,3.79,0.013,0,,0
09DTOTL5391P2ZD,0,none,44.9,59.61,0,53,50,130458534.44,141903164.72,0.0,0.0142,0,1.0,1
20BJZNZ8076R5ZV,1,shell_company,39.04,36.14,0,40,47,97096886.26,109810390.2,0.0,0.0131,0,1.0,0
24WGNEX8266E6ZK,0,none,27.31,49.23,0,45,51,120600170.99,121159334.33,0.0,0.0206,0,,0
37JZUGG5078Y9ZI,0,none,39.07,36.3,0,44,42,99394160.87,103748821.76,0.0,0.0181,0,1.0,0
17WLFOS2396O9Z2,1,shell_company,22.64,30.56,0,32,52,83258065.45,135358903.05,0.0,0.0159,0,,0
18FFBQF9802V8ZN,0,none,31.54,46.53,0,46,23,109738380.49,55406820.87,19.61,0.014,0,,0
08UUECL4476U2ZD,1,sudden_spike,47.53,58.28,0,52,36,135162223.98,84936871.04,11.83,0.0182,0,1.0,1
07ELKHG9485B9ZA,1,fake_itc,24.55,38.22,0,41,41,106707082.47,112235956.67,0.0,0.0166,0,,0
16FKBJZ2744X9Z5,0,none,42.93,45.55,0,47,31,111333833.88,85056333.21,6.18,0.017,0,1.0,1
24OTBPN8190F2ZE,0,none,18.96,15.83,0,28,41,59811501.09,118839227.94,0.0,0.0183,0,,0
19PQKPN9272M3ZT,0,none,35.230000000000004,20.93,0,32,39,65556261.23,96258936.54,0.0,0.0199,0,1.0,0
15QOCNN1302J3Z2,0,none,38.58,33.18,0,37,29,91707545.05,86811669.18,1.13,0.0107,0,1.0,0
01ROYCW2871J4ZV,0,none,46.07,53.29,0,48,34,122736973.97,79197967.63,10.99,0.0163,0,1.0,1
09XVCLH0762X8Z9,0,none,35.6,22.4,0,35,43,77643098.21,113577481.43,0.0,0.016,0,1.0,0
23XOVPD1387B6ZN,0,none,23.58,31.73,0,39,32,90296453.45,79911412.69,2.6,0.0153,0,,0
33KQEYW9880X6Z0,0,none,22.69,30.77,0,39,40,85444780.0,109023284.84,0.0,0.0169,0,,0
33BMFXJ8826M6ZR,1,shell_company,36.56,26.25,0,34,38,72849533.52,91404593.25,0.0,0.0137,0,1.0,0
22ZNYCZ1921N6ZU,0,none,32.26,59.75,0,50,34,129346889.44,88304537.67,9.3,0.0159,0,,0
19EBLNU6971N2ZV,1,missing_returns,79.93,52.28,100,41,43,130123049.45,94840645.87,7.44,0.0138,1,1.0,1
17IKKHD4969T5ZZ,0,none,21.4,25.59,0,31,47,76334620.05,111965301.34,0.0,0.0183,0,,0
20RMLFM9710Q6ZF,1,sudden_spike,34.2,65.22,0,51,31,142909001.07,90462187.93,11.6,0.0123,0,,0
01BZPTL8573M4ZJ,0,none,38.89,35.57,0,36,46,96870307.24,123349842.7,0.0,0.0172,0,1.0,0
14FUSMO9114Q9ZU,0,none,24.94,39.76,0,37,48,106837486.88,133789225.52,0.0,0.0185,0,,0
32XLEWL7827P4ZR,0,none,38.239999999999995,32.96,0,33,35,89015385.79,94852923.18,0.0,0.0145,0,1.0,0
11XCDJD2434B4Z0,0,none,44.129999999999995,44.37,0,35,25,98842523.39,61472947.56,12.16,0.0134,0,1.0,1
36TJAJT8947R4Z5,0,none,26.56,43.77,0,39,34,105953004.51,94254185.08,2.48,0.0133,0,,0
22RKEMD6035A2Z1,0,none,43.739999999999995,50.56,0,43,38,122325846.43,100308876.47,4.39,0.0171,0,1.0,1
07LIWHY4847B6ZO,0,none,37.42,29.68,0,34,39,87547588.94,88075238.47,0.0,0.0219,0,1.0,0
08FADDR5267F2ZK,0,none,23.83,35.31,0,40,40,96023466.38,112044471.11,0.0,0.0146,0,,0
22XJYFP8263V2ZC,0,none,41.46,45.84,0,44,45,101292178.22,105252757.48,0.0,0.0146,0,1.0,1
21IWVCY6874X9ZR,0,none,39.16,36.46,0,39,38,92032465.0,91181458.57,0.19,0.0181,0,1.0,0
11WVCWG4630K3Z5,1,missing_returns,23.77,35.09,0,37,42,97678389.67,119763393.69,0.0,0.0166,0,,0
20SHAYC7476U8Z2,0,none,40.03,40.11,0,34,48,92551285.22,123635817.32,0.0,0.0096,0,1.0,1
10RJOIZ5343H2ZM,0,none,24.34,37.35,0,36,40,95938054.22,98132914.24,0.0,0.0187,0,,0
06ETHPT5982L3ZT,0,none,38.85,35.42,0,37,42,93623515.21,114317533.02,0.0,0.0147,0,1.0,0
02OSDWM8544F1ZQ,0,none,20.91,23.62,0,33,42,78496122.17,83702527.94,0.0,0.0173,0,,0
19QBDOH9176Z4Z7,0,none,46.31,55.49,0,44,30,122518366.4,82391399.83,9.74,0.0137,0,1.0,1
14HQPTY2261F9ZE,0,none,38.92,34.32,0,35,36,91715063.35,85850643.78,1.37,0.0177,0,1.0,0
10AHHWB2275Z4Z1,1,fake_itc,87.82,80.04,100,53,38,165400236.46,105922922.08,11.23,0.0161,1,1.0,1
32DBUPV9443M5Z6,0,none,31.59,55.48,0,49,35,128777178.66,83364650.07,10.89,0.0176,0,,0
24IGCZV5996I1ZL,0,none,40.33,38.81,0,37,38,101118786.61,89846681.68,2.51,0.0178,0,1.0,1
19LVZMK3114P5ZZ,1,sudden_spike,25.22,35.59,0,50,29,101071650.5,79995695.62,5.27,0.0159,0,,0
27KNZRO4137U8ZD,0,none,36.760000000000005,27.04,0,40,38,85468935.18,91511417.58,0.0,0.018,0,1.0,0
36SDZPG1550D8ZH,0,none,28.66,49.61,0,44,33,106167795.73,84831495.31,5.03,0.015,0,,0
09KMMLD1571C5Z0,0,none,28.47,53.9,0,51,47,119792754.86,123321150.0,0.0,0.0158,0,,0
10VPRWL4373K4ZP,0,none,38.34,33.35,0,41,43,90488125.24,100920391.88,0.0,0.0158,0,1.0,0
24MXJZU6191S6ZG,0,none,22.25,29.01,0,37,48,91787663.01,118940001.17,0.0,0.0174,0,,0
05KREMZ3668V9ZY,0,none,40.620000000000005,40.38,0,35,38,101466459.53,91792523.57,2.11,0.0129,0,1.0,1
18ABQXZ7406D8ZK,0,none,40.33,40.5,0,38,46,97747841.82,93912754.79,0.82,0.0123,0,1.0,1
12JDNOU1086H8ZJ,0,none,25.41,39.04,0,35,32,97972872.27,86695621.19,2.6,0.019,0,,0
01XMHOB9929W5Z3,0,none,39.510000000000005,38.03,0,31,42,92381827.35,105800214.48,0.0,0.0186,0,1.0,0
08JJHSA8308Y1Z5,0,none,43.519999999999996,44.54,0,43,36,111144762.22,75208663.68,9.56,0.0149,0,1.0,1
08QQRSR8696J8ZC,0,none,34.019999999999996,16.1,0,32,27,66694240.86,68117368.08,0.0,0.0193,0,1.0,0
24KFUWJ5219P5ZV,0,none,37.269999999999996,29.09,0,42,36,89294636.79,91930650.83,0.0,0.018,0,1.0,0
08WSZZU3705O6ZQ,0,none,31.2,59.88,0,48,35,122186029.45,98099084.0,4.91,0.0182,0,,0
16AWOXF0893N2ZI,0,none,35.86,23.44,0,33,37,74200172.76,98456614.42,0.0,0.0166,0,1.0,0
08XDLRT9471N2Z5,0,none,39.21,36.82,0,36,41,91762066.92,103209129.61,0.0,0.0167,0,1.0,0
