gstin,company_name,state_code,state_name,industry,size_type,annual_turnover,registration_date,years_old,address_id,is_fraud,fraud_type
21CTGDC7550C4ZO,Nagar-Din,21,Odisha,Fertilizers,small,11544207.23,2006-05-25,20,1331,0,none
23OFPVA8631Y6ZG,Mutti Inc,23,Madhya Pradesh,Electronics,small,42679729.58,2013-05-23,13,1237,0,none
09USNZJ5868S4ZE,"Mander, Mitra and Lalla",09,Uttar Pradesh,Pharmaceuticals,small,15890622.25,2004-05-25,22,164,0,none
33GCHQJ3229U2ZK,Behl-Anne,33,Tamil Nadu,Construction,small,14957495.69,2020-05-21,6,1896,0,none
21RFITB8840S6ZN,Panchal-Sawhney,21,Odisha,Coal,medium,660709276.69,2013-05-23,13,293,0,none
09DTOTL5391P2ZD,"Bahl, Oommen and Shetty",09,Uttar Pradesh,Steel,medium,802475396.14,2021-05-21,5,865,0,none
20BJZNZ8076R5ZV,D’Alia-Chowdhury,20,Jharkhand,Steel,small,23778737.9,2016-05-22,10,1954,1,shell_company
24WGNEX8266E6ZK,Sibal-Arya,24,Gujarat,Fertilizers,small,25453073.99,2025-05-20,1,230,0,none
37JZUGG5078Y9ZI,"Narayanan, Bhargava and Sethi",37,Andhra Pradesh,Chemicals,small,28390572.49,2004-05-25,22,543,0,none
17WLFOS2396O9Z2,Bir Inc,17,Meghalaya,Steel,small,18228106.98,2018-05-22,8,1205,1,shell_company
18FFBQF9802V8ZN,Seth-Chaudhuri,18,Assam,Chemicals,large,6139387839.93,2002-05-26,24,969,0,none
08UUECL4476U2ZD,"Yohannan, Kapadia and Hari",08,Rajasthan,Plastics,small,43360281.74,2002-05-26,24,510,1,sudden_spike
07ELKHG9485B9ZA,Agate Ltd,07,Delhi,Electronics,medium,207995555.07,2001-05-26,25,995,1,fake_itc
16FKBJZ2744X9Z5,"Vala, Basak and Hayer",16,Tripura,Chemicals,small,48498049.52,2019-05-22,7,1187,0,none
24OTBPN8190F2ZE,"Shankar, Bajaj and Zacharia",24,Gujarat,Construction,small,44733791.08,2013-05-23,13,505,0,none
19PQKPN9272M3ZT,Manda Group,19,West Bengal,Cement,large,9421608587.0,2015-05-23,11,20,0,none
15QOCNN1302J3Z2,"Luthra, Ghosh and Vyas",15,Mizoram,Trading,large,8263899489.39,2006-05-25,20,1084,0,none
01ROYCW2871J4ZV,Kapur-Sidhu,01,Jammu & Kashmir,Automobile,medium,300784706.55,2004-05-25,22,1001,0,none
09XVCLH0762X8Z9,Pal PLC,09,Uttar Pradesh,Paper,small,5611705.28,2008-05-24,18,1809,0,none
23XOVPD1387B6ZN,Parikh-Chopra,23,Madhya Pradesh,Construction,small,39445579.61,2004-05-25,22,1811,0,none
33KQEYW9880X6Z0,Johal-De,33,Tamil Nadu,Construction,small,35661353.03,2017-05-22,9,784,0,none
33BMFXJ8826M6ZR,"Sarkar, Shankar and Kapadia",33,Tamil Nadu,Electronics,small,32791123.45,2001-05-26,25,819,1,shell_company
22ZNYCZ1921N6ZU,Barman Inc,22,Chhattisgarh,Paper,large,2040812056.26,2006-05-25,20,1843,0,none
